time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-01-30 00:00:00+00:00,361,60,2809,1162
2023-01-31 00:00:00+00:00,589,69,1928,630
2023-02-01 00:00:00+00:00,629,86,1659,458
2023-02-02 00:00:00+00:00,681,81,2047,499
2023-02-03 00:00:00+00:00,663,101,1503,420
2023-02-04 00:00:00+00:00,154,30,2667,973
2023-02-05 00:00:00+00:00,519,70,2044,635
2023-02-06 00:00:00+00:00,492,72,1604,467
2023-02-07 00:00:00+00:00,298,50,1502,460
2023-02-08 00:00:00+00:00,415,85,2031,394
2023-02-09 00:00:00+00:00,490,73,1988,578
2023-02-10 00:00:00+00:00,476,73,1433,397
2023-02-11 00:00:00+00:00,557,75,1105,331
2023-02-12 00:00:00+00:00,254,44,1034,357
